"id","variable_nerc_unit","variable_nerc_unitLongName","variable_nerc_unitVocabulary","variable_nerc_variableLongName","variable_nerc_variableName","variable_nerc_variableVocabulary"
"75","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Total angle specific volume from backscattering sensor at 880 nanometers","BETA_BACKSCATTERING880","http://vocab.nerc.ac.uk/collection/OG1/current/BETA880/"
"76","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Total angle specific volume from backscattering sensor at x nanometers","BETA_BACKSCATTERING","http://vocab.nerc.ac.uk/collection/OG1/current/BETABBP/"
"77","deg","Degrees","http://vocab.nerc.ac.uk/collection/P06/current/UAAA/","Uncalibrated blue excitation light phase shift reported by oxygen sensor","BPHASE_DOXY","http://vocab.nerc.ac.uk/collection/OG1/current/BPHDOXY/"
"78","ppb","Parts per billion","http://vocab.nerc.ac.uk/collection/P06/current/UPPB/","Concentration of coloured dissolved organic matter in sea water","CDOM","http://vocab.nerc.ac.uk/collection/OG1/current/CDOM/"
"79","mg/m^3","Milligrams per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UMMC/","Chlorophyll-A","CHLA","http://vocab.nerc.ac.uk/collection/OG1/current/CHLA/"
"80","S/m","Siemens per metre","http://vocab.nerc.ac.uk/collection/P06/current/UECA/","Electrical conductivity","CNDC","http://vocab.nerc.ac.uk/collection/OG1/current/CNDC/"
"81","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Count reported by oxygen sensor","COUNT_DOXY","http://vocab.nerc.ac.uk/collection/OG1/current/CNTDOXY/"
"82","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Correlation factor of acoustic signal by altimeter","CORRELATIONFACTOR_ALTIMETER","http://vocab.nerc.ac.uk/collection/OG1/current/COR_FACT/"
"83","cm","Centimetres","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","Setting (offset distance from neutral) of glider pitchmass","CONFIGURED_GLIDER_PITCH_MASS_POSITION","http://vocab.nerc.ac.uk/collection/OG1/current/CPITMPOS/"
"84","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Setting (offset angle from neutral) of glider roll mass","CONFIGURED_GLIDER_ROLL_MASS_POSITION","http://vocab.nerc.ac.uk/collection/OG1/current/CROLMPOS/"
"85","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Engineering data cycle number","ENGINEERING_CYCLE_NUMBER","http://vocab.nerc.ac.uk/collection/OG1/current/CYCLEENG/"
"86","kg/m^3","Kilograms per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UKMC/","Sea water density","DENSITY","http://vocab.nerc.ac.uk/collection/OG1/current/DENSITY/"
"87","m","Metres","http://vocab.nerc.ac.uk/collection/P06/current/ULAA/","Depth below sea surface (zero at sea level) of measurement platform","GLIDER_DEPTH","http://vocab.nerc.ac.uk/collection/OG1/current/DEPTH/"
"88","m","Metres","http://vocab.nerc.ac.uk/collection/P06/current/ULAA/","Altitude","DISTANCE_ALTIMETER","http://vocab.nerc.ac.uk/collection/OG1/current/DIST_ALT/"
"89","umol/kg","Micromoles per kilogram","http://vocab.nerc.ac.uk/collection/P06/current/KGUM/","Dissolved oxygen","DOXY","http://vocab.nerc.ac.uk/collection/OG1/current/DOXY/"
"90","uE/m^2/s","MicroEinsteins per square metre per second","http://vocab.nerc.ac.uk/collection/P06/current/UMES/","Downwelling photosynthetic available radiation","DOWNWELLING_PAR","http://vocab.nerc.ac.uk/collection/OG1/current/DPAR/"
"91","deg","Degrees","http://vocab.nerc.ac.uk/collection/P06/current/UAAA/","Calibrated phase shift reported by oxygen sensor","DPHASE_DOXY","http://vocab.nerc.ac.uk/collection/OG1/current/DPHDOXY/"
"92","W/m^2/nm","Watts per square metre per nanometre","http://vocab.nerc.ac.uk/collection/P06/current/UWNM/","Downwelling irradiance at x nanometers","DOWN_IRRADIANCE","http://vocab.nerc.ac.uk/collection/OG1/current/ED/"
"93","W/m^2/nm","Watts per square metre per nanometre","http://vocab.nerc.ac.uk/collection/P06/current/UWNM/","Downwelling irradiance at 380 nanometers","DOWN_IRRADIANCE380","http://vocab.nerc.ac.uk/collection/OG1/current/ED380/"
"94","W/m^2/nm","Watts per square metre per nanometre","http://vocab.nerc.ac.uk/collection/P06/current/UWNM/","Downwelling irradiance at 412 nanometers","DOWN_IRRADIANCE412","http://vocab.nerc.ac.uk/collection/OG1/current/ED412/"
"95","W/m^2/nm","Watts per square metre per nanometre","http://vocab.nerc.ac.uk/collection/P06/current/UWNM/","Downwelling irradiance at 443 nanometers","DOWN_IRRADIANCE443","http://vocab.nerc.ac.uk/collection/OG1/current/ED443/"
"96","W/m^2/nm","Watts per square metre per nanometre","http://vocab.nerc.ac.uk/collection/P06/current/UWNM/","Downwelling irradiance at 490 nanometers","DOWN_IRRADIANCE490","http://vocab.nerc.ac.uk/collection/OG1/current/ED490/"
"97","W/m^2/nm","Watts per square metre per nanometre","http://vocab.nerc.ac.uk/collection/P06/current/UWNM/","Downwelling irradiance at 555 nanometers","DOWN_IRRADIANCE555","http://vocab.nerc.ac.uk/collection/OG1/current/ED555/"
"98","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Raw downwelling irradiance at x nanometers","RAW_DOWNWELLING_IRRADIANCE","http://vocab.nerc.ac.uk/collection/OG1/current/EDLAM/"
"99","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Raw downwelling irradiance at 380 nanometers","RAW_DOWNWELLING_IRRADIANCE380","http://vocab.nerc.ac.uk/collection/OG1/current/EDLAM380/"
"100","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Raw downwelling irradiance at 412 nanometers","RAW_DOWNWELLING_IRRADIANCE412","http://vocab.nerc.ac.uk/collection/OG1/current/EDLAM412/"
"101","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Raw downwelling irradiance at 443 nanometers","RAW_DOWNWELLING_IRRADIANCE443","http://vocab.nerc.ac.uk/collection/OG1/current/EDLAM443/"
"102","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Raw downwelling irradiance at 490 nanometers","RAW_DOWNWELLING_IRRADIANCE490","http://vocab.nerc.ac.uk/collection/OG1/current/EDLAM490/"
"103","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Raw downwelling irradiance at 555 nanometers","RAW_DOWNWELLING_IRRADIANCE555","http://vocab.nerc.ac.uk/collection/OG1/current/EDLAM555/"
"104","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Energy level of acoustic signal by altimeter","ENERGYLEVEL_ALTIMETER","http://vocab.nerc.ac.uk/collection/OG1/current/ENLEVEL/"
"105","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Raw fluorescence from coloured dissolved organic matter sensor","FLUORESCENCE_CDOM","http://vocab.nerc.ac.uk/collection/OG1/current/FLUOCDOM/"
"106","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Chlorophyll-A signal from fluorescence sensor","FLUORESCENCE_CHLA","http://vocab.nerc.ac.uk/collection/OG1/current/FLUOCHLA/"
"107","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Phycoerythrin signal from fluorescence sensor","FLUORESCENCE_PHYCOERYTHRIN","http://vocab.nerc.ac.uk/collection/OG1/current/FLUOPHYC/"
"108","Hz","Hertz","http://vocab.nerc.ac.uk/collection/P06/current/UTHZ/","Frequency reported by oxygen sensor","FREQUENCY_DOXY","http://vocab.nerc.ac.uk/collection/OG1/current/FREQDOXY/"
"109","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Glider command phase","GLIDER_COMMAND_PHASE","http://vocab.nerc.ac.uk/collection/OG1/current/GLCOMPH/"
"110","deg","Degrees","http://vocab.nerc.ac.uk/collection/P06/current/UAAA/","Orientation (horizontal relative to magnetic north) of measurement platform {heading} by compass","GLIDER_HEADING","http://vocab.nerc.ac.uk/collection/OG1/current/HEADING/"
"111","degree_north","Degrees north","http://vocab.nerc.ac.uk/collection/P06/current/DEGN/","Latitude north","LATITUDE","http://vocab.nerc.ac.uk/collection/OG1/current/LAT/"
